transaction_id,customer_id,amount,transaction_date,product_category
5001,1001,59.72,2023-07-11,E-books
5002,1001,78.25,2023-05-07,Gaming
5003,1001,134.55,2024-05-05,E-books
5004,1001,50.11,2023-08-23,Music
5005,1001,131.56,2023-08-14,Streeming
5006,1002,98.38,2023-10-23,Gaming
5007,1002,128.85,2025-03-18,Streaming
5008,1002,32.68,2024-10-09,Cloud Storage
5009,1002,54.36,2024-08-05,Cloud Storage
5010,1002,94.75,2024-04-21,Cloud Storage
5011,1002,134.28,2023-03-23,Cloud Storage
5012,1002,114.71,2023-12-14,Gaming
5013,1003,33.42,2025-05-07,Music
5014,1003,111.89,2023-07-23,Cloud Storage
5015,1003,141.66,2023-06-13,Streaming
5016,1003,39.48,2024-04-19,Streaming
5017,1003,23.38,2024-02-01,E-books
5018,1003,17.54,2023-04-02,Gaming
5019,1003,83.36,2025-03-06,Streaming
5020,1004,96.53,2025-03-05,Gaming
5021,1004,53.31,2024-09-19,Cloud Storage
5022,1004,72.04,2025-01-21,Music
5023,1004,83.74,2024-12-07,Streaming
5024,1004,14.92,2024-05-30,Cloud Storage
5025,1005,75.41,2023-11-24,Cloud Storage
5026,1005,86.8,2025-01-12,E-books
5027,1005,34.79,2023-09-27,Gaming
5028,1005,98.35,2023-08-18,E-books
5029,1005,70.9,2023-08-14,E-books
5030,1005,53.35,2024-06-09,Gaming
5031,1005,85.55,2023-02-26,Streaming
5032,1005,,2024-05-21,Gaming
5033,1006,31.8,2025-05-20,Streaming
5034,1006,83.26,2023-04-15,Music
5035,1006,58.14,2024-02-05,E-books
5036,1006,11.16,2024-01-13,Gaming
5037,1006,51.95,2023-04-07,Gaming
5038,1007,93.58,2023-03-07,Streaming
5039,1007,86.75,2024-11-18,Gaming
5040,1007,133.5,2024-03-09,Gaming
5041,1007,44.99,2023-05-29,Gaming
5042,1007,125.98,2024-10-17,Cloud Storage
5043,1008,69.11,2024-09-27,E-books
5044,1008,117.04,2023-09-11,Cloud Storage
5045,1009,100.78,2023-12-03,Cloud Storage
5046,1009,67.81,2025-03-21,Music
5047,1009,29.13,2025-02-06,Gaming
5048,1009,96.48,2024-08-25,E-books
5049,1009,78.88,2024-07-06,Streaming
5050,1010,16.95,2023-11-30,Streaming
5051,1010,36.03,2025-02-15,Cloud Storage
5052,1010,47.69,2023-05-29,Gaming
5053,1011,42.59,2024-12-27,Streaming
5054,1012,40.41,2024-03-26,Cloud Storage
5055,1012,120.0,2024-01-06,Cloud Storage
5056,1012,74.92,2023-03-12,Streaming
5057,1012,56.23,2023-01-18,Music
5058,1012,17.85,2023-03-28,Gaming
5059,1012,19.99,2024-02-04,Music
5060,1012,36.91,2023-01-20,Cloud Storage
5061,1012,124.42,2023-02-02,Streaming
5062,1013,146.44,2023-05-30,Music
5063,1013,63.87,2024-03-03,Music
5064,1014,37.89,2023-05-09,Streaming
5065,1015,103.24,2024-10-29,Gaming
5066,1015,64.48,2024-07-15,Cloud Storage
5067,1015,32.21,2023-05-16,Streaming
5068,1015,114.26,2023-11-15,E-books
5069,1015,27.1,2024-01-24,Cloud Storage
5070,1015,37.82,2025-04-07,Music
5071,1015,146.26,2024-10-01,Gaming
5072,1015,55.43,2024-12-10,Cloud Storage
5073,1015,91.86,2024-04-20,Music
5074,1016,145.64,2023-10-13,Gaming
5075,1017,31.7,2023-04-02,Streaming
5076,1017,44.82,2024-01-05,Streaming
5077,1017,106.03,2024-06-18,Streaming
5078,1017,18.37,2023-08-09,Music
5079,1017,108.19,2023-03-12,Streaming
5080,1017,27.62,2024-10-04,Cloud Storage
5081,1017,147.43,2023-03-15,Clud Storage
5082,1017,,2024-03-07,Music
5083,1017,12.99,2024-05-09,Cloud Storage
5084,1017,111.42,2024-09-16,Streaming
5085,1018,108.93,2023-11-05,Cloud Storage
5086,1018,85.98,2024-01-15,Music
5087,1018,89.34,2023-11-21,Cloud Storage
5088,1018,55.32,2024-02-06,Cloud Storage
5089,1018,131.47,2023-09-25,E-books
5090,1018,32.45,2023-12-04,Music
5091,1018,72.91,2023-02-11,Cloud Storage
5092,1018,85.82,2024-02-21,Streaming
5093,1019,63.07,2024-11-22,Streaming
5094,1019,96.76,2024-05-23,E-books
5095,1019,43.43,2023-05-23,Streaming
5096,1019,102.16,2023-11-26,Gaming
5097,1019,36.58,2023-07-01,Gaming
5098,1019,117.2,2024-12-24,E-books
5099,1019,49.64,2024-04-06,Cloud Storage
5100,1019,25.46,2023-12-12,Streaming
5101,1019,16.13,2025-01-18,Music
5102,1020,38.29,2024-01-19,Music
5103,1021,14.45,2023-08-12,Gaming
5104,1021,102.11,2023-12-09,E-books
5105,1022,45.83,2024-05-20,Clud Storage
5106,1022,94.83,2025-03-19,Streaming
5107,1022,140.23,2024-10-29,Gaming
5108,1022,139.98,2023-01-29,Streaming
5109,1022,75.53,2023-08-15,Streaming
5110,1022,60.53,2023-04-30,Gaming
5111,1022,125.08,2023-03-09,Streaming
5112,1022,125.31,2024-08-31,E-books
5113,1022,15.69,2025-03-19,Cloud Storage
5114,1022,20.91,2024-10-21,E-books
5115,1023,24.17,2024-10-06,E-books
5116,1023,63.95,2024-11-14,E-books
5117,1024,89.8,2024-11-28,E-books
5118,1024,114.89,2024-03-31,Streaming
5119,1024,117.28,2023-10-18,Cloud Storage
5120,1024,104.43,2023-06-11,Gaming
5121,1025,33.35,2024-11-27,E-books
5122,1025,66.22,2024-06-19,Music
5123,1026,149.78,2024-03-03,Cloud Storage
5124,1026,136.35,2023-11-14,Cloud Storage
5125,1026,128.28,2024-04-03,Gaming
5126,1026,125.66,2024-07-03,E-books
5127,1026,43.7,2023-11-19,Music
5128,1026,62.51,2023-11-14,Cloud Storage
5129,1026,60.4,2024-02-22,Gaming
5130,1026,144.38,2025-05-30,Streaming
5131,1026,147.61,2023-09-28,Streaming
5132,1027,28.91,2024-07-25,Streaming
5133,1027,52.05,2024-10-15,Music
5134,1027,129.8,2025-05-08,Cloud Storage
5135,1027,138.68,2023-12-24,E-books
5136,1027,89.89,2023-10-23,Music
5137,1027,23.2,2024-02-14,Cloud Storage
5138,1027,31.85,2024-09-01,Cloud Storage
5139,1027,134.55,2024-09-17,Music
5140,1027,45.87,2024-07-27,Streaming
5141,1028,65.97,2024-10-20,Streaming
5142,1028,,2023-03-11,Gaming
5143,1028,34.21,2023-02-05,E-books
5144,1028,124.73,2025-02-22,E-books
5145,1028,99.92,2025-04-22,E-books
5146,1028,63.42,2023-03-24,Streaming
5147,1028,139.06,2024-06-22,Cloud Storage
5148,1028,133.17,2024-03-12,Gaming
5149,1028,140.23,2025-01-27,Music
5150,1028,114.68,2023-01-12,E-books
5151,1029,98.74,2023-08-22,Gaming
5152,1030,52.67,2025-04-18,Cloud Storage
5153,1031,89.09,2024-06-30,E-books
5154,1031,107.69,2024-12-25,Streaming
5155,1031,104.31,2024-04-23,Gaming
5156,1031,115.4,2023-10-19,E-books
5157,1031,22.61,2024-03-14,Cloud Storage
5158,1031,120.09,2024-12-30,Music
5159,1031,57.06,2024-01-29,E-books
5160,1031,114.34,2023-11-16,
5161,1031,46.76,2024-04-17,E-books
5162,1032,118.34,2025-01-17,Music
5163,1032,77.33,2024-11-09,Gaming
5164,1032,65.34,2023-10-23,Music
5165,1032,88.56,2023-05-08,E-books
5166,1032,44.47,2025-03-18,Cloud Storage
5167,1032,118.75,2024-07-03,E-books
5168,1032,22.54,2023-07-13,Gaming
5169,1033,61.14,2024-11-16,Cloud Storage
5170,1033,58.23,2023-07-29,Streaming
5171,1033,117.76,2024-12-08,Cloud Storage
5172,1033,96.27,2023-02-28,Gaming
5173,1033,97.25,2024-03-05,Streaming
5174,1033,139.39,2024-10-03,Music
5175,1033,105.95,2024-12-22,Streaming
5176,1034,113.54,2024-09-24,E-books
5177,1034,139.74,2023-01-29,Cloud Storage
5178,1035,58.06,2023-02-27,Streaming
5179,1036,73.01,2025-05-07,Cloud Storage
5180,1036,39.26,2023-11-27,Music
5181,1036,38.53,2023-12-12,Cloud Storage
5182,1036,86.83,2023-09-01,Music
5183,1036,107.31,2023-07-16,Streaming
